"Definitely not a winning combo. Just a bat second winner. When batting first this team will again struggle. Lose two wickets inside powerplay, eat up as many deliveries you can and then hope for some tailender onslaught to get to a 140 score and then lose the match comfortably saying we didn't bat well. There should be a plan for every Four overs of the match. Guptill can be a maxwell but tough to accommodate unless you bring in nathu singh for southee or mitch.""",Negative
2 overseas bowlers/5 specialist bowlers is a very good approach for MI as McClenhagen and Southee can hit few sixes too if required and also Harbhajan which leaves them with 10 six hitters in the team out off 11 (except Bumrah).',Positive
2 overseas bowlers/5 specialist bowlers is a very good approach for MI as McClenhagen and Southee can hit few sixes too if required and also Harbhajan which leaves them with 10 six hitters in the team out off 11 (except Bumrah).',Positive
"Baffling. Why play Southee and Mc in the same XI. The conditions in which they deserve their respective place in the team are mutually exclusive. It's highly likely that Parthiv is playing largely because of his keeping, given Buttler is dubious while keeping to spin. Otherwise, bringing in some more power in place of Parthiv, viz Nitesh Rana might be useful. MI should drop one of the foreign pacers and bring in Corey Anderson. In this tournament, given chasing teams are doing substantially better, it would make sense to beef up the batting, given anything under-200 is a bad goal. Better for a side like MI to stock up well on batting and go gung-ho from ball one. Parthiv, Rohit, Rayudu, Buttler, Anderson, Pollard, Hardik, Krunal, Bhajji, Southee/Mitch, Bumrah.""",Negative
"rcb should play Travis head on front , chahal for harshal , playing xi - head, Rahul, kohli, devilliers, Watson, s khan, s binny, Richardson/ wiese, chahal, abdulla, Aaron/s aravind ..'",Neutral
"Definitely not a winning combo. Just a bat second winner. When batting first this team will again struggle. Lose two wickets inside powerplay, eat up as many deliveries you can and then hope for some tailender onslaught to get to a 140 score and then lose the match comfortably saying we didn't bat well. There should be a plan for every Four overs of the match. Guptill can be a maxwell but tough to accommodate unless you bring in nathu singh for southee or mitch.""",Negative
2 overseas bowlers/5 specialist bowlers is a very good approach for MI as McClenhagen and Southee can hit few sixes too if required and also Harbhajan which leaves them with 10 six hitters in the team out off 11 (except Bumrah).',Positive
2 overseas bowlers/5 specialist bowlers is a very good approach for MI as McClenhagen and Southee can hit few sixes too if required and also Harbhajan which leaves them with 10 six hitters in the team out off 11 (except Bumrah).',Positive
"Baffling. Why play Southee and Mc in the same XI. The conditions in which they deserve their respective place in the team are mutually exclusive. It's highly likely that Parthiv is playing largely because of his keeping, given Buttler is dubious while keeping to spin. Otherwise, bringing in some more power in place of Parthiv, viz Nitesh Rana might be useful. MI should drop one of the foreign pacers and bring in Corey Anderson. In this tournament, given chasing teams are doing substantially better, it would make sense to beef up the batting, given anything under-200 is a bad goal. Better for a side like MI to stock up well on batting and go gung-ho from ball one. Parthiv, Rohit, Rayudu, Buttler, Anderson, Pollard, Hardik, Krunal, Bhajji, Southee/Mitch, Bumrah.",Negative
No featured comments at the moment.,Neutral
"@DEBKOB: at the end of the day, the chap has won 3 IPL titles - 2 as captain (one after his team was 0-4 at the start) - where his leadership and batting was one of the critical factors. That's what counts at the end of the day, dew or no dew!!""",Positive
"@NEEDGREENPITCHES4BOWLINGALLROUNDERS: I kind of agree with Anand Palwankar that Rohit is the better (or more 'level-headed') captain than Virat, at least in T20s. Getting your team to the playoffs after starting the season with 0-5 (2014) and winning the title after 0-4 (2015) is by no small means because of Rohit's leadership. Starc is out this season, but he played for RCB two seasons prior to that. How many times did RCB win the title then?""",Positive
"this chap is so 'talented' that he needs: a. dew, b. winning toss and batting in dew, c. more dew and wet ball, d. road pitch and dew, e. did i mention dew?, f. more dew, g. ordinary bowlers, h. opposition's main destructive players sitting out. (remember his test scores vs WI were w/o WI test destructive players)""",Negative
